"","Spell","Rune"
"4955","Soul Harvest","Siphon"
"4956","Wall of Zombies","Wrecking Crew"
"4957","Grave Injustice","Passive"
"4958","Pierce the Veil","Passive"
"4959","Creeping Death","Passive"
"4960","Spirit Vessel","Passive"
"4961","Piranhas","Piranhado"
"4962","Locust Swarm","Pestilence"
"4963","Soul Harvest","Siphon"
"4964","Horrify","Stalker"
"4965","Spirit Walk","Jaunt"
"4966","Haunt","Resentful Spirits"
"4967","Grave Injustice","Passive"
"4968","Pierce the Veil","Passive"
"4969","Creeping Death","Passive"
"4970","Spirit Vessel","Passive"
"4971","Plague of Toads","Rain of Toads"
"4972","Piranhas","Piranhado"
"4973","Spirit Walk","Jaunt"
"4974","Summon Zombie Dogs","Leeching Beasts"
"4975","Big Bad Voodoo","Slam Dance"
"4976","Gargantuan","Restless Giant"
"4977","Grave Injustice","Passive"
"4978","Fetish Sycophants","Passive"
"4979","Pierce the Veil","Passive"
"4980","Midnight Feast","Passive"
"4981","Haunt","Resentful Spirits"
"4982","Locust Swarm","Pestilence"
"4983","Spirit Walk","Jaunt"
"4984","Horrify","Frightening Aspect"
"4985","Piranhas","Piranhado"
"4986","Soul Harvest","Siphon"
"4987","Pierce the Veil","Passive"
"4988","Grave Injustice","Passive"
"4989","Creeping Death","Passive"
"4990","Spirit Vessel","Passive"
"4991","Mass Confusion","Paranoia"
"4992","Piranhas","Piranhado"
"4993","Big Bad Voodoo","Slam Dance"
"4994","Fetish Army","Legion of Daggers"
"4995","Spirit Walk","Jaunt"
"4996","Horrify","Face of Death"
"4997","Jungle Fortitude","Passive"
"4998","Zombie Handler","Passive"
"4999","Spirit Vessel","Passive"
"5000","Tribal Rites","Passive"
"5001","Fetish Army","Legion of Daggers"
"5002","Piranhas","Piranhado"
"5003","Spirit Walk","Jaunt"
"5004","Big Bad Voodoo","Slam Dance"
"5005","Mass Confusion","Paranoia"
"5006","Horrify","Face of Death"
"5007","Pierce the Veil","Passive"
"5008","Spirit Vessel","Passive"
"5009","Tribal Rites","Passive"
"5010","Jungle Fortitude","Passive"
"5011","Haunt","Resentful Spirits"
"5012","Locust Swarm","Devouring Swarm"
"5013","Soul Harvest","Siphon"
"5014","Horrify","Frightening Aspect"
"5015","Spirit Walk","Jaunt"
"5016","Piranhas","Piranhado"
"5017","Creeping Death","Passive"
"5018","Spirit Vessel","Passive"
"5019","Grave Injustice","Passive"
"5020","Pierce the Veil","Passive"
"5021","Plague of Toads","Rain of Toads"
"5022","Big Bad Voodoo","Slam Dance"
"5023","Piranhas","Frozen Piranhas"
"5024","Spirit Walk","Jaunt"
"5025","Fetish Army","Legion of Daggers"
"5026","Summon Zombie Dogs","Rabid Dogs"
"5027","Pierce the Veil","Passive"
"5028","Midnight Feast","Passive"
