"","Spell","Rune"
"336","Battle Rage","Marauder's Rage"
"337","Berserker Rage","Passive"
"338","Inspiring Presence","Passive"
"339","Rampage","Passive"
"340","Superstition","Passive"
"341","Hammer of the Ancients","Thunderstrike"
"342","Furious Charge","Battering Ram"
"343","Wrath of the Berserker","Striding Giant"
"344","Call of the Ancients","The Council Rises"
"345","Battle Rage","Bloodshed"
"346","War Cry","Impunity"
"347","Tough as Nails","Passive"
"348","Superstition","Passive"
"349","Ruthless","Passive"
"350","Boon of Bul-Kathos","Passive"
"351","Whirlwind","Hurricane"
"352","Furious Charge","Dreadnought"
"353","War Cry","Impunity"
"354","Battle Rage","Marauder's Rage"
"355","Wrath of the Berserker","Striding Giant"
"356","Call of the Ancients","Together as One"
"357","Nerves of Steel","Passive"
"358","Rampage","Passive"
"359","Boon of Bul-Kathos","Passive"
"360","Berserker Rage","Passive"
"361","Frenzy","Maniac"
"362","Furious Charge","Battering Ram"
"363","Call of the Ancients","Together as One"
"364","Wrath of the Berserker","Insanity"
"365","Battle Rage","Bloodshed"
"366","War Cry","Impunity"
"367","Tough as Nails","Passive"
"368","Nerves of Steel","Passive"
"369","Superstition","Passive"
"370","Berserker Rage","Passive"
"371","Frenzy","Maniac"
"372","Furious Charge","Battering Ram"
"373","Battle Rage","Bloodshed"
"374","Wrath of the Berserker","Insanity"
"375","War Cry","Impunity"
"376","Ignore Pain","Iron Hide"
"377","Berserker Rage","Passive"
"378","Superstition","Passive"
"379","Ruthless","Passive"
"380","Rampage","Passive"
"381","Whirlwind","Wind Shear"
"382","Furious Charge","Dreadnought"
"383","War Cry","Impunity"
"384","Call of the Ancients","Together as One"
"385","Battle Rage","Bloodshed"
"386","Wrath of the Berserker","Insanity"
"387","Nerves of Steel","Passive"
"388","Inspiring Presence","Passive"
"389","Berserker Rage","Passive"
"390","Superstition","Passive"
"391","Whirlwind","Hurricane"
"392","Leap","Iron Impact"
"393","Call of the Ancients","Together as One"
"394","Earthquake","Chilling Earth"
"395","War Cry","Impunity"
"396","Battle Rage","Bloodshed"
"397","Ruthless","Passive"
"398","Weapons Master","Passive"
"399","Brawler","Passive"
"400","Earthen Might","Passive"
"401","Call of the Ancients","Together as One"
"402","Battle Rage","Marauder's Rage"
"403","Sprint","Marathon"
"404","Furious Charge","Battering Ram"
"405","War Cry","Impunity"
"406","Wrath of the Berserker","Insanity"
